도서관명,시도명,시군구명,도서관유형,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수
김해기적의도서관,경상남도,김해시,공공도서관,09:00,18:00,300,48778,45,1105,5,14
꿈꾸는 도서관,경상남도,진주시,작은도서관,14:00,17:00,15,5021,0,0,0,0
핑크드림 도서관,경상남도,진주시,작은도서관,9:30,17:30,24,5105,1,0,3,14
조은마음도서관,경상남도,진주시,작은도서관,10:00,18:00,10,5120,4,0,0,0
서원동 어울작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,5180,0,0,5,14
옥포면작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,43,5241,9,0,5,14
신천3동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,40,5280,8,0,5,15
지저동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,30,5459,9,0,5,15
정수중학교 도서관,충청북도,영동군,학교도서관,9:00,16:30,20,5480,0,40,2,7
유가면작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,51,5494,9,0,5,14
제원작은도서관,충청남도,금산군,작은도서관,13:00,21:00,20,5565,2,0,10,14
지프내도서실,충청북도,영동군,학교도서관,9:00,17:00,36,5580,0,0,2,7
낙성동 우듬지작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,5663,0,9,5,14
미성동 책의향기작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,5719,0,0,5,14
지산2동작은도서관,광주광역시,동구,공공도서관,9:00,17:00,14,5729,0,0,5,15
가지산작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,10,5796,0,0,3,14
웅촌작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,12,5846,0,0,3,14
금산작은도서관,충청남도,금산군,작은도서관,10:00,22:00,20,5885,2,0,10,14
글샘누리 작은도서관,경상남도,진주시,작은도서관,14:00,18:00,20,5910,0,0,3,14
가좌그린빌 푸른도서관,경상남도,진주시,작은도서관,11:00,14:00,30,5915,4,0,3,14
서림동 글사랑작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,5993,0,5,5,14
선유정보문화도서관,서울특별시,영등포구,공공도서관,7:00,22:00,228,50721,72,2391,3,14
금산기적의도서관,충청남도,금산군,공공도서관,9:00,18:00,100,51035,24,1456,10,14
봉양도서관,충청북도,충청북도 제천시,공공도서관,9:00,22:00,48,51939,178,397,5,7
대림정보문화도서관,서울특별시,영등포구,공공도서관,7:00,22:00,188,53803,71,3615,3,14
기적의도서관,전라북도,정읍시,공공도서관,9:00,18:00,80,54104,20,516,5,10
금산인삼고을도서관,충청남도,금산군,공공도서관,9:00,23:00,300,56733,3,1627,10,14
문경시립모전도서관,경상북도,문경시,공공도서관,09:00,22:00,231,57360,55,0,5,7
울주선바위도서관,울산광역시,울주군,공공도서관,9:00,22:00,814,57412,136,8844,3,14
글빛정보도서관,서울특별시,관악구,공공도서관,9:00,22:00,139,57504,36,2359,5,14
제천여성도서관,충청북도,충청북도 제천시,공공도서관,9:00,23:00,144,57754,487,0,5,7
송촌평생학습도서관,대전광역시,대덕구,공공도서관,9:00,18:00,530,59581,185,1801,5,14
꿈이커가는도서관,대구광역시,남구,작은도서관,10:00,15:00,30,6000,1,0,3,7
황간면청소년공부방,충청북도,영동군,작은도서관,9:00,18:00,72,6000,0,0,2,7
하빈면작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,61,6103,9,0,5,14
반야월역사 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,17,6152,10,0,5,15
신원동 울타리작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,6163,0,0,5,14
영동인터넷고등학교 도서관,충청북도,영동군,학교도서관,12:30,13:30,24,6192,0,0,3,7
보라매동 다사랑작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,15,6259,0,0,5,14
금산 두산위브 글마루 도서관,경상남도,진주시,작은도서관,14:30,17:30,74,6344,0,0,0,0
삼성동 샛별작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,10,6392,0,7,5,14
신림동 굴렁쇠작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,12,6397,0,9,5,14
매화골 도서관,충청북도,영동군,학교도서관,9:00,16:30,29,6488,0,28,2,14
상촌초등학교 도서관,충청북도,영동군,학교도서관,9:00,17:00,35,6505,0,0,3,7
늘푸름작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,20,6511,0,0,3,14
집현현대작은도서관,경상남도,진주시,작은도서관,15:00,17:00,36,6541,0,0,3,7
해오름작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,15,6627,0,0,3,14
청림동 푸른숲작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,6638,0,0,5,14
비봉글샘터,충청북도,영동군,학교도서관,8:40,17:00,28,6852,0,16,3,7
학습정보실,충청북도,영동군,학교도서관,9:00,17:00,26,6864,0,3,5,20
난곡동 책사랑 작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,16,6933,0,0,5,14
송도국제어린이도서관,인천광역시,연수구,어린이도서관,10:00,18:00,200,61400,27,8475,5,15
문경시립문희도서관,경상북도,문경시,공공도서관,09:00,21:00,229,61528,22,0,5,7
신태인도서관,전라북도,정읍시,공공도서관,8:00,0:00,100,62536,20,0,5,10
연수어린이도서관,인천광역시,연수구,어린이도서관,10:00,18:00,30,64645,21,8842,5,15
어린이전문도서관,경상남도,진주시,어린이도서관,9:00,18:00,200,66210,24,1244,5,14
다누리도서관,충청북도,단양군,공공,9:00,22:00,87,66693,75,2006,7,14
다누리도서관,충청북도,단양군,공공도서관,09:00,22:00,87,66693,75,2006,7,14
연수청학도서관,인천광역시,연수구,공공도서관,7:00,22:00,400,67086,99,1492,5,15
이현 High Class 웰가 새마을문고,경상남도,진주시,작은도서관,14:00,17:00,64,7209,3,0,0,0
신사동 해오름작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,7275,0,7,5,14
착한마음 도서관,경상남도,진주시,작은도서관,10:00,18:00,10,7300,1,0,0,0
학운동작은도서관,광주광역시,동구,공공도서관,9:00,17:00,20,7532,0,0,5,15
아산선운산작은도서관,전라북도,고창군,작은도서관,10:00,18:00,20,7536,0,0,5,14
지원2동작은도서관,광주광역시,동구,공공도서관,9:00,17:00,34,7588,0,0,5,15
논공읍작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,20,7917,9,0,5,14
대명4동꿈틀작은도서관,대구광역시,남구,작은도서관,9:00,18:00,40,7988,34,0,20,10
꿈나무어린이도서관,서울특별시,구로구,공공도서관,10:00,19:00,86,70933,18,1596,3,14
정관도서관,부산광역시,기장군,공공도서관,7:00,0:00,583,71111,118,613,5,15
경상북도립예천공공도서관,경상북도,예천군,공공도서관,9:00,22:00,460,72009,19,5577,5,14
영동도서관,충청북도,영동군,공공도서관,8:00,22:00,400,72642,140,2242,5,21
연무도서관,충청남도,논산시,공공도서관,07:00,22:00,204,74739,15,1016,5,10
강경도서관,충청남도,논산시,공공도서관,07:00,22:00,235,77025,11,1302,5,10
한밭도서관,대전광역시,중구,공공도서관,6:00,23:00,656,772695,501,108467,5,14
영동산업과학고등학교 도서관,충청북도,영동군,학교도서관,8:30,17:30,58,8123,0,14,3,14
새마을문고정촌지회(정촌글샘),경상남도,진주시,작은도서관,9:30,17:30,8,8150,2,0,3,14
평거동 새마을작은도서관,경상남도,진주시,작은도서관,9:00,17:00,20,8200,0,0,3,14
초전1차 푸르지오 문고,경상남도,진주시,작은도서관,13:00,16:00,25,8214,0,0,1,7
청룡동 숯고을작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,20,8281,0,31,5,14
령도서관,충청북도,영동군,학교도서관,8:20,16:30,30,8283,4,0,3,14
천전 한보 새마을작은도서관,경상남도,진주시,작은도서관,15:00,17:00,16,8350,0,0,0,0
신림청소년독서실,서울특별시,관악구,구립작은도서관,10:00,18:00,74,8420,0,0,5,14
청도작은도서관,경상북도,청도군,작은도서관,9:00,18:00,37,8810,0,0,8810,14
난향동 뜰안에작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,22,8838,0,133,5,14
성현동 파랑새작은도서관,서울특별시,관악구,작은도서관,10:00,18:00,50,8864,0,116,5,14
동구도서관,부산광역시,동구,공공도서관,09:00,23:00,440,88073,27,2786,5,14
울주옹기종기도서관,울산광역시,울주군,공공도서관,9:00,22:00,352,88219,55,5503,3,14
가오도서관,대전광역시,동구,공공도서관,8:00,22:00,300,88410,16,3250,5,14
가양도서관,대전광역시,동구,공공도서관,8:00,22:00,263,89769,21,3024,5,14
초강초등학교 도서관,충청북도,영동군,학교도서관,9:00,17:00,28,9027,0,0,3,7
가창면참꽃작은도서관,대구광역시,달성군,작은도서관,09:00,21:00,46,9186,9,454,5,14
하난곡작은도서관,서울특별시,관악구,구립작은도서관,9:00,18:00,40,9232,17,651,5,14
